 == BEGINING OF EXECUTION == 



Endereço virtual: 54879 | Endereço físico:  3679 | Conteúdo: 151
Endereço virtual: 28210 | Endereço físico:  2098 | Conteúdo: 27
Endereço virtual: 10268 | Endereço físico: 14620 | Conteúdo: 0
Endereço virtual: 15395 | Endereço físico: 31779 | Conteúdo: 8
Endereço virtual: 12884 | Endereço físico: 30292 | Conteúdo: 0
Endereço virtual:  2149 | Endereço físico:  2405 | Conteúdo: 0
Endereço virtual: 53483 | Endereço físico:  2795 | Conteúdo: 58
Endereço virtual: 59606 | Endereço físico: 26070 | Conteúdo: 58
Endereço virtual: 14981 | Endereço físico: 24709 | Conteúdo: 0
Endereço virtual: 36672 | Endereço físico:  2880 | Conteúdo: 0
Endereço virtual: 23197 | Endereço físico:  3229 | Conteúdo: 0
Endereço virtual: 36518 | Endereço físico: 14502 | Conteúdo: 35
Endereço virtual: 13361 | Endereço físico:  3377 | Conteúdo: 0
Endereço virtual: 19810 | Endereço físico:  3682 | Conteúdo: 19
Endereço virtual: 25955 | Endereço físico:  3939 | Conteúdo: 88
Endereço virtual: 62678 | Endereço físico:  4310 | Conteúdo: 61
Endereço virtual: 26021 | Endereço físico:  4005 | Conteúdo: 0
Endereço virtual: 29409 | Endereço físico:  4577 | Conteúdo: 0
Endereço virtual: 38111 | Endereço físico:  4831 | Conteúdo: 55
Endereço virtual: 58573 | Endereço físico: 15565 | Conteúdo: 0
Endereço virtual: 56840 | Endereço físico:  4872 | Conteúdo: 0
Endereço virtual: 41306 | Endereço físico: 24922 | Conteúdo: 40
Endereço virtual: 54426 | Endereço físico: 19354 | Conteúdo: 53
Endereço virtual:  3617 | Endereço físico: 10017 | Conteúdo: 0
Endereço virtual: 50652 | Endereço físico: 18652 | Conteúdo: 0
Endereço virtual: 41452 | Endereço físico: 25068 | Conteúdo: 0
Endereço virtual: 20241 | Endereço físico: 16657 | Conteúdo: 0
Endereço virtual: 31723 | Endereço físico: 12267 | Conteúdo: 250
Endereço virtual: 53747 | Endereço físico:  5363 | Conteúdo: 124
Endereço virtual: 28550 | Endereço físico: 28038 | Conteúdo: 27
Endereço virtual: 23402 | Endereço físico: 20586 | Conteúdo: 22
Endereço virtual: 21205 | Endereço físico:  5589 | Conteúdo: 0
Endereço virtual: 56181 | Endereço físico: 25205 | Conteúdo: 0
Endereço virtual: 57470 | Endereço físico:  5758 | Conteúdo: 56
Endereço virtual: 39933 | Endereço físico:  6141 | Conteúdo: 0
Endereço virtual: 34964 | Endereço físico: 26772 | Conteúdo: 0
Endereço virtual: 24781 | Endereço físico:  6349 | Conteúdo: 0
Endereço virtual: 41747 | Endereço físico:  6419 | Conteúdo: 196
Endereço virtual: 62564 | Endereço físico:  4196 | Conteúdo: 0
Endereço virtual: 58461 | Endereço físico: 15453 | Conteúdo: 0
Endereço virtual: 20858 | Endereço físico:  6778 | Conteúdo: 20
Endereço virtual: 49301 | Endereço físico:  8597 | Conteúdo: 0
Endereço virtual: 40572 | Endereço físico:  7036 | Conteúdo: 0
Endereço virtual: 23840 | Endereço físico:  7200 | Conteúdo: 0
Endereço virtual: 35278 | Endereço físico:  7630 | Conteúdo: 34
Endereço virtual: 62905 | Endereço físico: 28601 | Conteúdo: 0
Endereço virtual: 56650 | Endereço físico: 13386 | Conteúdo: 55
Endereço virtual: 11149 | Endereço físico:  7821 | Conteúdo: 0
Endereço virtual: 38920 | Endereço físico:  7944 | Conteúdo: 0
Endereço virtual: 23430 | Endereço físico: 20614 | Conteúdo: 22
Endereço virtual: 57592 | Endereço físico:  5880 | Conteúdo: 0
Endereço virtual:  3080 | Endereço físico:  8200 | Conteúdo: 0
Endereço virtual:  6677 | Endereço físico:  8469 | Conteúdo: 0
Endereço virtual: 50704 | Endereço físico: 26128 | Conteúdo: 0
Endereço virtual: 51883 | Endereço físico: 27307 | Conteúdo: 170
Endereço virtual: 62799 | Endereço físico: 28495 | Conteúdo: 83
Endereço virtual: 20188 | Endereço físico:  8924 | Conteúdo: 0
Endereço virtual:  1245 | Endereço físico:  9181 | Conteúdo: 0
Endereço virtual: 12220 | Endereço físico:  9404 | Conteúdo: 0
Endereço virtual: 17602 | Endereço físico:  9666 | Conteúdo: 17
Endereço virtual: 28609 | Endereço físico: 28097 | Conteúdo: 0
Endereço virtual: 42694 | Endereço físico: 20934 | Conteúdo: 41
Endereço virtual: 29826 | Endereço físico:  9858 | Conteúdo: 29
Endereço virtual: 13827 | Endereço físico: 31235 | Conteúdo: 128
Endereço virtual: 27336 | Endereço físico: 28872 | Conteúdo: 0
Endereço virtual: 53343 | Endereço físico:  2655 | Conteúdo: 23
Endereço virtual: 11533 | Endereço físico:  9997 | Conteúdo: 0
Endereço virtual: 41713 | Endereço físico: 10481 | Conteúdo: 0
Endereço virtual: 33890 | Endereço físico: 10594 | Conteúdo: 33
Endereço virtual:  4894 | Endereço físico: 13598 | Conteúdo: 4
Endereço virtual: 57599 | Endereço físico:  5887 | Conteúdo: 63
Endereço virtual:  3870 | Endereço físico: 18974 | Conteúdo: 3
Endereço virtual: 58622 | Endereço físico: 15614 | Conteúdo: 57
Endereço virtual: 29780 | Endereço físico:  9812 | Conteúdo: 0
Endereço virtual: 62553 | Endereço físico:  4185 | Conteúdo: 0
Endereço virtual:  2303 | Endereço físico:  2559 | Conteúdo: 63
Endereço virtual: 51915 | Endereço físico: 27339 | Conteúdo: 178
Endereço virtual:  6251 | Endereço físico: 10859 | Conteúdo: 26
Endereço virtual: 38107 | Endereço físico:  4827 | Conteúdo: 54
Endereço virtual: 59325 | Endereço físico: 11197 | Conteúdo: 0
Endereço virtual: 61295 | Endereço físico: 11375 | Conteúdo: 219
Endereço virtual: 26699 | Endereço físico: 11595 | Conteúdo: 18
Endereço virtual: 51188 | Endereço físico: 12020 | Conteúdo: 0
Endereço virtual: 59519 | Endereço físico: 25983 | Conteúdo: 31
Endereço virtual:  7345 | Endereço físico: 12209 | Conteúdo: 0
Endereço virtual: 20325 | Endereço físico: 16741 | Conteúdo: 0
Endereço virtual: 39633 | Endereço físico: 12497 | Conteúdo: 0
Endereço virtual:  1562 | Endereço físico: 12570 | Conteúdo: 1
Endereço virtual:  7580 | Endereço físico: 12956 | Conteúdo: 0
Endereço virtual:  8170 | Endereço físico:  1258 | Conteúdo: 7
Endereço virtual: 62256 | Endereço físico: 23856 | Conteúdo: 0
Endereço virtual: 35823 | Endereço físico: 13295 | Conteúdo: 251
Endereço virtual: 27790 | Endereço físico: 13454 | Conteúdo: 27
Endereço virtual: 13191 | Endereço físico: 13703 | Conteúdo: 225
Endereço virtual:  9772 | Endereço físico: 13868 | Conteúdo: 0
Endereço virtual:  7477 | Endereço físico: 12853 | Conteúdo: 0
Endereço virtual: 44455 | Endereço físico: 14247 | Conteúdo: 105
Endereço virtual: 59546 | Endereço físico: 26010 | Conteúdo: 58
Endereço virtual: 49347 | Endereço físico: 14531 | Conteúdo: 48
Endereço virtual: 36539 | Endereço físico: 14779 | Conteúdo: 174
Endereço virtual: 12453 | Endereço físico: 15013 | Conteúdo: 0
Endereço virtual: 49640 | Endereço físico: 15336 | Conteúdo: 0
Endereço virtual: 28290 | Endereço físico:  2178 | Conteúdo: 27
Endereço virtual: 44817 | Endereço físico: 15377 | Conteúdo: 0
Endereço virtual:  8565 | Endereço físico: 20085 | Conteúdo: 0
Endereço virtual: 16399 | Endereço físico: 15631 | Conteúdo: 3
Endereço virtual: 41934 | Endereço físico:  6606 | Conteúdo: 40
Endereço virtual: 45457 | Endereço físico: 16017 | Conteúdo: 0
Endereço virtual: 33856 | Endereço físico: 10560 | Conteúdo: 0
Endereço virtual: 19498 | Endereço físico: 22570 | Conteúdo: 19
Endereço virtual: 17661 | Endereço físico:  9725 | Conteúdo: 0
Endereço virtual: 63829 | Endereço físico: 21845 | Conteúdo: 0
Endereço virtual: 42034 | Endereço físico: 16178 | Conteúdo: 41
Endereço virtual: 28928 | Endereço físico: 16384 | Conteúdo: 0
Endereço virtual: 30711 | Endereço físico: 16631 | Conteúdo: 253
Endereço virtual:  8800 | Endereço físico: 16736 | Conteúdo: 0
Endereço virtual: 52335 | Endereço físico: 17007 | Conteúdo: 27
Endereço virtual: 38775 | Endereço físico: 17271 | Conteúdo: 221
Endereço virtual: 52704 | Endereço físico: 30176 | Conteúdo: 0
Endereço virtual: 24380 | Endereço físico: 17468 | Conteúdo: 0
Endereço virtual: 19602 | Endereço físico: 22674 | Conteúdo: 19
Endereço virtual: 57998 | Endereço físico: 17806 | Conteúdo: 56
Endereço virtual:  2919 | Endereço físico: 18023 | Conteúdo: 217
Endereço virtual:  8362 | Endereço físico: 18346 | Conteúdo: 8
Endereço virtual: 17884 | Endereço físico: 18652 | Conteúdo: 0
Endereço virtual: 45737 | Endereço físico: 18857 | Conteúdo: 0
Endereço virtual: 47894 | Endereço físico: 25622 | Conteúdo: 46
Endereço virtual: 59667 | Endereço físico: 18963 | Conteúdo: 68
Endereço virtual: 10385 | Endereço físico: 19345 | Conteúdo: 0
Endereço virtual: 52782 | Endereço físico: 19502 | Conteúdo: 51
Endereço virtual: 64416 | Endereço físico: 19872 | Conteúdo: 0
Endereço virtual: 40946 | Endereço físico: 20210 | Conteúdo: 39
Endereço virtual: 16778 | Endereço físico: 20362 | Conteúdo: 16
Endereço virtual: 27159 | Endereço físico: 28695 | Conteúdo: 133
Endereço virtual: 24324 | Endereço físico: 17412 | Conteúdo: 0
Endereço virtual: 32450 | Endereço físico: 20674 | Conteúdo: 31
Endereço virtual:  9108 | Endereço físico: 20884 | Conteúdo: 0
Endereço virtual: 65305 | Endereço físico: 30489 | Conteúdo: 0
Endereço virtual: 19575 | Endereço físico: 22647 | Conteúdo: 29
Endereço virtual: 11117 | Endereço físico:  7789 | Conteúdo: 0
Endereço virtual: 65170 | Endereço físico: 21138 | Conteúdo: 63
Endereço virtual: 58013 | Endereço físico: 17821 | Conteúdo: 0
Endereço virtual: 61676 | Endereço físico: 23276 | Conteúdo: 0
Endereço virtual: 63510 | Endereço físico: 28182 | Conteúdo: 62
Endereço virtual: 17458 | Endereço físico:  9522 | Conteúdo: 17
Endereço virtual: 54675 | Endereço físico: 21395 | Conteúdo: 100
Endereço virtual:  1713 | Endereço físico: 12721 | Conteúdo: 0
Endereço virtual: 55105 | Endereço físico: 21569 | Conteúdo: 0
Endereço virtual: 65321 | Endereço físico: 30505 | Conteúdo: 0
Endereço virtual: 45278 | Endereço físico: 21982 | Conteúdo: 44
Endereço virtual: 26256 | Endereço físico: 22160 | Conteúdo: 0
Endereço virtual: 64198 | Endereço físico: 22470 | Conteúdo: 62
Endereço virtual: 29441 | Endereço físico: 22529 | Conteúdo: 0
Endereço virtual:  1928 | Endereço físico:   392 | Conteúdo: 0
Endereço virtual: 39425 | Endereço físico: 12289 | Conteúdo: 0
Endereço virtual: 32000 | Endereço físico: 22784 | Conteúdo: 0
Endereço virtual: 28549 | Endereço físico: 28037 | Conteúdo: 0
Endereço virtual: 46295 | Endereço físico: 23255 | Conteúdo: 53
Endereço virtual: 22772 | Endereço físico: 23540 | Conteúdo: 0
Endereço virtual: 58228 | Endereço físico:  1396 | Conteúdo: 0
Endereço virtual: 63525 | Endereço físico: 28197 | Conteúdo: 0
Endereço virtual: 32602 | Endereço físico: 23642 | Conteúdo: 31
